variable,sector,outcome,selected,lasso_coef,enet_coef
net_additions,Advanced Manufacturing,cagr_emp,0,0.0,0.0
related_variety,Advanced Manufacturing,cagr_emp,0,0.0,0.0
level_3+_qualifications,Creative Industries,lq_emp,1,0.20698656240558705,0.1783630527341679
gcse_by_age_19,Creative Industries,lq_emp,1,0.059309300674071974,0.07546724612285557
apprenticeship_starts,Creative Industries,lq_emp,1,-0.04633743108654629,-0.08303260493442441
apprenticeship_achievements,Creative Industries,lq_emp,1,-0.11383399253382005,-0.08903458432072175
fe_and_skills_participation,Creative Industries,lq_emp,0,0.0,0.0
new_enterprises,Creative Industries,lq_emp,0,-0.0,-0.0
deaths_of_enterprises,Creative Industries,lq_emp,0,-0.0,-0.0
active_enterprises,Creative Industries,lq_emp,0,-0.0,0.0
high_growth_enterprises,Creative Industries,lq_emp,1,0.20520756447982721,0.1881446081652982
broadband_availability,Creative Industries,lq_emp,1,0.03912222774182366,0.05231336182519817
4g_area_coverage,Creative Industries,lq_emp,0,0.0,0.00548460425546928
net_additions,Creative Industries,lq_emp,0,0.0,0.0
related_variety,Creative Industries,lq_emp,0,-0.0,-0.006086101924643935
level_3+_qualifications,Creative Industries,lq_bus,1,0.19525536179994926,0.1762422728970566
gcse_by_age_19,Creative Industries,lq_bus,1,0.05939321105395804,0.06573917540627694
apprenticeship_starts,Creative Industries,lq_bus,1,-0.08546270855975548,-0.0923069563451138
apprenticeship_achievements,Creative Industries,lq_bus,1,-0.10307585192674447,-0.09454148743748608
fe_and_skills_participation,Creative Industries,lq_bus,1,0.009046871613631411,0.006603342906508209
new_enterprises,Creative Industries,lq_bus,0,0.0,0.0
deaths_of_enterprises,Creative Industries,lq_bus,0,0.0,0.0
active_enterprises,Creative Industries,lq_bus,0,0.0,0.0021790862356077354
high_growth_enterprises,Creative Industries,lq_bus,1,0.09411468244000505,0.09188644933684825
broadband_availability,Creative Industries,lq_bus,1,0.038446795545829644,0.03995484977149074
4g_area_coverage,Creative Industries,lq_bus,1,0.011990271547189844,0.014901268047807524
net_additions,Creative Industries,lq_bus,1,-0.003136591090906918,-0.005666764925545603
related_variety,Creative Industries,lq_bus,0,-0.0,0.0
level_3+_qualifications,Creative Industries,growth_emp,0,0.0,0.0
gcse_by_age_19,Creative Industries,growth_emp,0,0.0,0.0
apprenticeship_starts,Creative Industries,growth_emp,0,0.0,0.0
apprenticeship_achievements,Creative Industries,growth_emp,0,0.0,0.0
fe_and_skills_participation,Creative Industries,growth_emp,0,0.0,0.0
new_enterprises,Creative Industries,growth_emp,0,0.0,0.0
deaths_of_enterprises,Creative Industries,growth_emp,0,0.0,0.0
active_enterprises,Creative Industries,growth_emp,0,0.0,0.0
high_growth_enterprises,Creative Industries,growth_emp,0,0.0,0.0
broadband_availability,Creative Industries,growth_emp,0,0.0,0.0
4g_area_coverage,Creative Industries,growth_emp,0,0.0,0.0
net_additions,Creative Industries,growth_emp,0,0.0,0.0
related_variety,Creative Industries,growth_emp,0,0.0,0.0
level_3+_qualifications,Creative Industries,growth_bus,0,-0.0,-0.0
gcse_by_age_19,Creative Industries,growth_bus,0,-0.0,-2.2367482179356373e-05
apprenticeship_starts,Creative Industries,growth_bus,0,0.0,0.0
apprenticeship_achievements,Creative Industries,growth_bus,0,-0.0,-0.0
fe_and_skills_participation,Creative Industries,growth_bus,1,0.006502895867107436,0.0071369565427446945
new_enterprises,Creative Industries,growth_bus,0,0.0,0.0
deaths_of_enterprises,Creative Industries,growth_bus,0,0.0,0.0
active_enterprises,Creative Industries,growth_bus,0,0.0,0.0
high_growth_enterprises,Creative Industries,growth_bus,0,0.0,0.0
broadband_availability,Creative Industries,growth_bus,0,-0.0,-0.0
4g_area_coverage,Creative Industries,growth_bus,0,-0.0,-0.0
net_additions,Creative Industries,growth_bus,0,0.0,0.0
related_variety,Creative Industries,growth_bus,1,0.023102207706686955,0.02374493379336784
level_3+_qualifications,Creative Industries,cagr_bus,0,-0.0,-0.0
gcse_by_age_19,Creative Industries,cagr_bus,1,-0.00034610187697007303,-0.0003163781064147173
apprenticeship_starts,Creative Industries,cagr_bus,0,0.0,0.0
apprenticeship_achievements,Creative Industries,cagr_bus,0,-0.0,-0.0
fe_and_skills_participation,Creative Industries,cagr_bus,1,0.0015299641321863684,0.0014994168810953546
new_enterprises,Creative Industries,cagr_bus,0,0.0,0.0
deaths_of_enterprises,Creative Industries,cagr_bus,0,0.0,0.0
active_enterprises,Creative Industries,cagr_bus,0,-0.0,-0.0
high_growth_enterprises,Creative Industries,cagr_bus,1,0.00014844827704715106,0.0001223645201058748
broadband_availability,Creative Industries,cagr_bus,0,-0.0,-0.0
4g_area_coverage,Creative Industries,cagr_bus,0,-0.0,-0.0
net_additions,Creative Industries,cagr_bus,1,0.0006434583861844675,0.0005929552800777604
related_variety,Creative Industries,cagr_bus,1,0.0044381314951845025,0.004406382787116116
level_3+_qualifications,Creative Industries,cagr_emp,0,0.0,0.0
gcse_by_age_19,Creative Industries,cagr_emp,0,0.0,0.0
apprenticeship_starts,Creative Industries,cagr_emp,0,0.0,0.0
apprenticeship_achievements,Creative Industries,cagr_emp,0,0.0,0.0
fe_and_skills_participation,Creative Industries,cagr_emp,0,0.0,0.0
new_enterprises,Creative Industries,cagr_emp,0,0.0,0.0
deaths_of_enterprises,Creative Industries,cagr_emp,0,0.0,0.0
active_enterprises,Creative Industries,cagr_emp,0,0.0,0.0
high_growth_enterprises,Creative Industries,cagr_emp,0,0.0,0.0
broadband_availability,Creative Industries,cagr_emp,0,0.0,0.0
4g_area_coverage,Creative Industries,cagr_emp,0,0.0,0.0
net_additions,Creative Industries,cagr_emp,0,0.0,0.0
related_variety,Creative Industries,cagr_emp,0,0.0,0.0
level_3+_qualifications,Digital and Technologies,lq_emp,1,0.13693944617275147,0.13157107872353627
gcse_by_age_19,Digital and Technologies,lq_emp,1,0.08682726413132219,0.08709767837485673
apprenticeship_starts,Digital and Technologies,lq_emp,0,-0.0,-0.021771600206078785
apprenticeship_achievements,Digital and Technologies,lq_emp,1,-0.060145765076381155,-0.04469146566563311
fe_and_skills_participation,Digital and Technologies,lq_emp,1,-0.05015441510446671,-0.05332703544126611
new_enterprises,Digital and Technologies,lq_emp,1,-0.1420229062218364,-0.08124231278437741
deaths_of_enterprises,Digital and Technologies,lq_emp,0,-0.0,-0.03761255730889345
active_enterprises,Digital and Technologies,lq_emp,0,-0.0,-0.004611784518238306
high_growth_enterprises,Digital and Technologies,lq_emp,1,0.1874777089746459,0.16400452939112692
