sector,model,feature,corr_shap,direction,imp_share
Advanced Manufacturing,LQ_reg_bus,apprenticeship_starts,0.744,Positive ↑,0.6097
Advanced Manufacturing,LQ_reg_bus,enterprise_high_growth_rate,0.719,Positive ↑,0.0239
Advanced Manufacturing,LQ_reg_bus,unemployment_rate,0.424,Positive ↑,0.0208
Advanced Manufacturing,LQ_reg_bus,transport_to_employer,0.357,Positive ↑,0.0673
Advanced Manufacturing,LQ_reg_bus,housing_net_additions,0.079,Ambiguous,0.0126
Advanced Manufacturing,LQ_reg_bus,broadband,0.024,Ambiguous,0.0135
Advanced Manufacturing,LQ_reg_bus,fe_participation,-0.355,Negative ↓,0.043
Advanced Manufacturing,LQ_reg_bus,gcse_age19,-0.36,Negative ↓,0.0101
Advanced Manufacturing,LQ_reg_bus,enterprise_birth_rate,-0.583,Negative ↓,0.0405
Advanced Manufacturing,LQ_reg_bus,nvq_level3,-0.649,Negative ↓,0.1022
Advanced Manufacturing,LQ_reg_bus,n_universities_feecap_lad,-0.688,Negative ↓,0.0174
Advanced Manufacturing,LQ_reg_bus,enterprise_death_rate,-0.752,Negative ↓,0.0392
Creative Industries,LQ_reg_bus,nvq_level3,0.911,Positive ↑,0.1696
Creative Industries,LQ_reg_bus,gcse_age19,0.854,Positive ↑,0.0533
Creative Industries,LQ_reg_bus,broadband,0.847,Positive ↑,0.0171
Creative Industries,LQ_reg_bus,enterprise_high_growth_rate,0.766,Positive ↑,0.0158
Creative Industries,LQ_reg_bus,n_universities_feecap_lad,0.681,Positive ↑,0.0032
Creative Industries,LQ_reg_bus,enterprise_death_rate,0.528,Positive ↑,0.0071
Creative Industries,LQ_reg_bus,housing_net_additions,0.188,Positive ↑,0.0031
Creative Industries,LQ_reg_bus,enterprise_birth_rate,-0.074,Ambiguous,0.0063
Creative Industries,LQ_reg_bus,transport_to_employer,-0.395,Negative ↓,0.1352
Creative Industries,LQ_reg_bus,unemployment_rate,-0.686,Negative ↓,0.011
Creative Industries,LQ_reg_bus,fe_participation,-0.774,Negative ↓,0.0373
Creative Industries,LQ_reg_bus,apprenticeship_starts,-0.79,Negative ↓,0.5411
Digital and Technologies,LQ_reg_bus,nvq_level3,0.938,Positive ↑,0.255
Digital and Technologies,LQ_reg_bus,broadband,0.918,Positive ↑,0.071
Digital and Technologies,LQ_reg_bus,gcse_age19,0.879,Positive ↑,0.0891
Digital and Technologies,LQ_reg_bus,housing_net_additions,0.859,Positive ↑,0.0077
Digital and Technologies,LQ_reg_bus,enterprise_high_growth_rate,0.784,Positive ↑,0.061
Digital and Technologies,LQ_reg_bus,enterprise_death_rate,0.733,Positive ↑,0.0335
Digital and Technologies,LQ_reg_bus,n_universities_feecap_lad,0.643,Positive ↑,0.0026
Digital and Technologies,LQ_reg_bus,unemployment_rate,-0.686,Negative ↓,0.0159
Digital and Technologies,LQ_reg_bus,fe_participation,-0.764,Negative ↓,0.0448
Digital and Technologies,LQ_reg_bus,transport_to_employer,-0.766,Negative ↓,0.066
Digital and Technologies,LQ_reg_bus,apprenticeship_starts,-0.767,Negative ↓,0.3458
Digital and Technologies,LQ_reg_bus,enterprise_birth_rate,-0.856,Negative ↓,0.0075
Financial Services,LQ_reg_bus,enterprise_high_growth_rate,0.841,Positive ↑,0.2435
Financial Services,LQ_reg_bus,n_universities_feecap_lad,0.832,Positive ↑,0.2675
Financial Services,LQ_reg_bus,nvq_level3,0.831,Positive ↑,0.0565
Financial Services,LQ_reg_bus,broadband,0.781,Positive ↑,0.0436
Financial Services,LQ_reg_bus,housing_net_additions,0.623,Positive ↑,0.03
Financial Services,LQ_reg_bus,enterprise_death_rate,0.541,Positive ↑,0.046
Financial Services,LQ_reg_bus,gcse_age19,-0.203,Negative ↓,0.0317
Financial Services,LQ_reg_bus,apprenticeship_starts,-0.313,Negative ↓,0.0172
Financial Services,LQ_reg_bus,unemployment_rate,-0.624,Negative ↓,0.0564
Financial Services,LQ_reg_bus,enterprise_birth_rate,-0.746,Negative ↓,0.022
Financial Services,LQ_reg_bus,fe_participation,-0.842,Negative ↓,0.1151
Financial Services,LQ_reg_bus,transport_to_employer,-0.854,Negative ↓,0.0704
Life Sciences,LQ_reg_bus,gcse_age19,0.821,Positive ↑,0.0311
Life Sciences,LQ_reg_bus,housing_net_additions,0.809,Positive ↑,0.0292
Life Sciences,LQ_reg_bus,broadband,0.785,Positive ↑,0.0206
Life Sciences,LQ_reg_bus,nvq_level3,0.761,Positive ↑,0.1602
Life Sciences,LQ_reg_bus,enterprise_high_growth_rate,0.759,Positive ↑,0.3131
Life Sciences,LQ_reg_bus,n_universities_feecap_lad,0.712,Positive ↑,0.0127
Life Sciences,LQ_reg_bus,enterprise_death_rate,0.526,Positive ↑,0.0225
Life Sciences,LQ_reg_bus,unemployment_rate,0.486,Positive ↑,0.0332
Life Sciences,LQ_reg_bus,enterprise_birth_rate,-0.248,Negative ↓,0.0071
Life Sciences,LQ_reg_bus,fe_participation,-0.386,Negative ↓,0.2368
Life Sciences,LQ_reg_bus,transport_to_employer,-0.465,Negative ↓,0.0274
Life Sciences,LQ_reg_bus,apprenticeship_starts,-0.567,Negative ↓,0.1061
Professional and Business Services,LQ_reg_bus,nvq_level3,0.94,Positive ↑,0.3375
Professional and Business Services,LQ_reg_bus,gcse_age19,0.854,Positive ↑,0.1732
Professional and Business Services,LQ_reg_bus,enterprise_high_growth_rate,0.832,Positive ↑,0.03
Professional and Business Services,LQ_reg_bus,broadband,0.811,Positive ↑,0.0124
Professional and Business Services,LQ_reg_bus,n_universities_feecap_lad,0.809,Positive ↑,0.015
Professional and Business Services,LQ_reg_bus,enterprise_death_rate,0.194,Positive ↑,0.0069
Professional and Business Services,LQ_reg_bus,housing_net_additions,-0.135,Negative ↓,0.0097
Professional and Business Services,LQ_reg_bus,fe_participation,-0.724,Negative ↓,0.0534
Professional and Business Services,LQ_reg_bus,apprenticeship_starts,-0.762,Negative ↓,0.2717
Professional and Business Services,LQ_reg_bus,unemployment_rate,-0.764,Negative ↓,0.0111
Professional and Business Services,LQ_reg_bus,enterprise_birth_rate,-0.78,Negative ↓,0.0244
Professional and Business Services,LQ_reg_bus,transport_to_employer,-0.824,Negative ↓,0.0546
Advanced Manufacturing,LQ_clf_bus,housing_net_additions,0.782,Positive ↑,0.0426
Advanced Manufacturing,LQ_clf_bus,apprenticeship_starts,0.668,Positive ↑,0.3711
Advanced Manufacturing,LQ_clf_bus,transport_to_employer,0.596,Positive ↑,0.1565
Advanced Manufacturing,LQ_clf_bus,enterprise_high_growth_rate,0.134,Positive ↑,0.0145
Advanced Manufacturing,LQ_clf_bus,unemployment_rate,-0.045,Ambiguous,0.0246
Advanced Manufacturing,LQ_clf_bus,broadband,-0.286,Negative ↓,0.0229
Advanced Manufacturing,LQ_clf_bus,enterprise_birth_rate,-0.469,Negative ↓,0.0421
Advanced Manufacturing,LQ_clf_bus,fe_participation,-0.555,Negative ↓,0.0479
Advanced Manufacturing,LQ_clf_bus,enterprise_death_rate,-0.695,Negative ↓,0.0424
Advanced Manufacturing,LQ_clf_bus,n_universities_feecap_lad,-0.707,Negative ↓,0.0736
Advanced Manufacturing,LQ_clf_bus,nvq_level3,-0.82,Negative ↓,0.0873
Advanced Manufacturing,LQ_clf_bus,gcse_age19,-0.894,Negative ↓,0.0746
Creative Industries,LQ_clf_bus,gcse_age19,0.841,Positive ↑,0.1472
Creative Industries,LQ_clf_bus,nvq_level3,0.838,Positive ↑,0.1904
Creative Industries,LQ_clf_bus,n_universities_feecap_lad,0.792,Positive ↑,0.0202
Creative Industries,LQ_clf_bus,broadband,0.773,Positive ↑,0.0407
Creative Industries,LQ_clf_bus,enterprise_high_growth_rate,0.741,Positive ↑,0.0312
Creative Industries,LQ_clf_bus,unemployment_rate,0.563,Positive ↑,0.013
Creative Industries,LQ_clf_bus,housing_net_additions,0.544,Positive ↑,0.0057
Creative Industries,LQ_clf_bus,enterprise_death_rate,0.216,Positive ↑,0.0092
Creative Industries,LQ_clf_bus,fe_participation,-0.621,Negative ↓,0.0526
Creative Industries,LQ_clf_bus,enterprise_birth_rate,-0.66,Negative ↓,0.0286
Creative Industries,LQ_clf_bus,transport_to_employer,-0.669,Negative ↓,0.1076
Creative Industries,LQ_clf_bus,apprenticeship_starts,-0.735,Negative ↓,0.3535
Digital and Technologies,LQ_clf_bus,nvq_level3,0.89,Positive ↑,0.2352
Digital and Technologies,LQ_clf_bus,broadband,0.887,Positive ↑,0.0927
Digital and Technologies,LQ_clf_bus,gcse_age19,0.885,Positive ↑,0.1917
Digital and Technologies,LQ_clf_bus,housing_net_additions,0.882,Positive ↑,0.0149
