group,sector,dep_var,model_type,n,R2_mean,R2_std,RMSE_mean,RMSE_std,F1_mean,F1_std,Acc_mean,Acc_std
theory,Advanced Manufacturing,lq_emp_binary,classification,350,,,,,0.602,0.0437,0.6429,0.0511
theory,Advanced Manufacturing,lq_bus_binary,classification,350,,,,,0.693,0.06,0.7086,0.0583
theory,Advanced Manufacturing,cagr_emp_binary,classification,350,,,,,0.5316,0.0216,0.5229,0.0265
theory,Advanced Manufacturing,cagr_bus_binary,classification,349,,,,,0.6999,0.0281,0.6246,0.0335
theory,Creative Industries,lq_emp,regression,350,0.3186,0.4561,0.5076,0.1544,,,,
theory,Creative Industries,lq_bus,regression,350,0.7396,0.0625,0.2439,0.0319,,,,
theory,Creative Industries,cagr_emp,regression,350,-0.0256,0.1074,0.0405,0.0052,,,,
theory,Creative Industries,cagr_bus,regression,349,0.1053,0.0405,0.0175,0.0027,,,,
theory,Creative Industries,lq_emp_binary,classification,350,,,,,0.5909,0.117,0.8743,0.0246
theory,Creative Industries,lq_bus_binary,classification,350,,,,,0.7712,0.0884,0.8914,0.0368
theory,Creative Industries,cagr_emp_binary,classification,350,,,,,0.5561,0.0719,0.54,0.0731
theory,Creative Industries,cagr_bus_binary,classification,349,,,,,0.6276,0.0419,0.6161,0.0409
theory,Defence,lq_emp,regression,350,-10.1142,19.5886,7.624,4.8572,,,,
theory,Defence,lq_bus,regression,350,-0.0021,0.0035,0.6288,0.4783,,,,
theory,Defence,cagr_emp,regression,71,-0.2647,0.2431,0.4833,0.0274,,,,
theory,Defence,lq_emp_binary,classification,350,,,,,0.0,0.0,0.9086,0.007
theory,Defence,lq_bus_binary,classification,350,,,,,0.0,0.0,0.9886,0.0057
theory,Defence,cagr_emp_binary,classification,71,,,,,0.7562,0.0532,0.6762,0.0716
theory,Digital and Technologies,lq_emp,regression,350,0.2819,0.0193,0.4727,0.1107,,,,
theory,Digital and Technologies,lq_bus,regression,350,0.5678,0.0857,0.2307,0.0278,,,,
theory,Digital and Technologies,cagr_emp,regression,350,-0.046,0.0973,0.0543,0.0361,,,,
theory,Digital and Technologies,cagr_bus,regression,349,0.1533,0.1175,0.0179,0.0024,,,,
theory,Digital and Technologies,lq_emp_binary,classification,350,,,,,0.5328,0.0738,0.7914,0.0294
theory,Digital and Technologies,lq_bus_binary,classification,350,,,,,0.7344,0.0604,0.8486,0.0294
theory,Digital and Technologies,cagr_emp_binary,classification,350,,,,,0.535,0.092,0.5686,0.0455
theory,Digital and Technologies,cagr_bus_binary,classification,349,,,,,0.5794,0.0472,0.6133,0.0458
theory,Financial Services,lq_emp,regression,350,-0.0426,0.3745,0.7285,0.2937,,,,
theory,Financial Services,lq_bus,regression,350,0.0787,0.1886,0.4572,0.2143,,,,
theory,Financial Services,cagr_emp,regression,349,-0.0694,0.0315,0.0584,0.0074,,,,
theory,Financial Services,cagr_bus,regression,349,0.0695,0.0541,0.0316,0.0056,,,,
theory,Financial Services,lq_emp_binary,classification,350,,,,,0.2105,0.1323,0.84,0.021
theory,Financial Services,lq_bus_binary,classification,350,,,,,0.1336,0.0845,0.8171,0.0167
theory,Financial Services,cagr_emp_binary,classification,349,,,,,0.5538,0.0238,0.5244,0.0278
theory,Financial Services,cagr_bus_binary,classification,349,,,,,0.6923,0.0121,0.6792,0.0285
theory,Life Sciences,lq_emp,regression,350,-0.0394,0.0467,1.7082,0.2657,,,,
theory,Life Sciences,lq_bus,regression,350,0.1527,0.2561,0.7576,0.2935,,,,
theory,Life Sciences,cagr_emp,regression,338,-0.0118,0.1013,0.3507,0.103,,,,
theory,Life Sciences,cagr_bus,regression,291,0.0677,0.2049,0.3494,0.0395,,,,
theory,Life Sciences,lq_emp_binary,classification,350,,,,,0.0661,0.0579,0.7,0.0202
theory,Life Sciences,lq_bus_binary,classification,350,,,,,0.4471,0.0876,0.8314,0.0305
theory,Life Sciences,cagr_emp_binary,classification,338,,,,,0.5379,0.0147,0.5593,0.0253
theory,Life Sciences,cagr_bus_binary,classification,291,,,,,0.8388,0.0099,0.7252,0.017
theory,Professional and Business Services,lq_emp,regression,350,0.381,0.152,0.2943,0.057,,,,
theory,Professional and Business Services,lq_bus,regression,350,0.6932,0.1694,0.1549,0.0547,,,,
theory,Professional and Business Services,cagr_emp,regression,350,-0.0174,0.028,0.0384,0.0049,,,,
theory,Professional and Business Services,cagr_bus,regression,350,-0.1178,0.2393,0.02,0.0064,,,,
theory,Professional and Business Services,lq_emp_binary,classification,350,,,,,0.5944,0.1328,0.8657,0.0333
theory,Professional and Business Services,lq_bus_binary,classification,350,,,,,0.798,0.0536,0.8857,0.0256
theory,Professional and Business Services,cagr_emp_binary,classification,350,,,,,0.5566,0.0505,0.5743,0.0428
theory,Professional and Business Services,cagr_bus_binary,classification,350,,,,,0.5734,0.0424,0.5686,0.0398
