IS8_SECTOR,base,end,total_change,national_effect,industry_effect,competitive_effect
Advanced Manufacturing,9050.0,11990.0,2940.0,726.0,-1198.0,3411.0
Creative Industries,14020.0,15700.0,1680.0,1125.0,942.0,-387.0
Defence,0.0,0.0,0.0,0.0,-0.0,
Digital and Technologies,24230.0,24790.0,560.0,1945.0,606.0,-1991.0
Financial Services,23645.0,23390.0,-255.0,1898.0,-2180.0,27.0
Life Sciences,1440.0,2105.0,665.0,116.0,268.0,282.0
Professional and Business Services,79560.0,80470.0,910.0,6386.0,1556.0,-7032.0
