sector,dep_var,model_type,feature,importance
Advanced Manufacturing,cagr_emp,regression,level_3+_qualifications,0.02828722747720027
Advanced Manufacturing,cagr_emp,regression,fe_and_skills_participation,0.030317964920183047
Advanced Manufacturing,cagr_emp,regression,smokers,0.017957355031669054
Advanced Manufacturing,cagr_emp,regression,reception_obesity,0.02352966158428953
Advanced Manufacturing,cagr_emp,regression,year_6_obesity,0.025770570376558007
Advanced Manufacturing,cagr_emp,regression,adult_obesity,0.007826013134615319
Advanced Manufacturing,cagr_emp,regression,cancer_diagnosis,0.014584337650252419
Advanced Manufacturing,cagr_emp,regression,under_75_mortality_rate,0.012565829823213947
Advanced Manufacturing,cagr_emp,regression,life_satisfaction,0.010224832237966363
Advanced Manufacturing,cagr_emp,regression,worthwhile,0.009852657814835025
Advanced Manufacturing,cagr_emp,regression,happiness,0.040785253605676114
Advanced Manufacturing,cagr_emp,regression,anxiety,0.009185179911874338
Advanced Manufacturing,cagr_emp,regression,net_additions,0.07809674849267471
Advanced Manufacturing,cagr_emp,regression,related_variety,0.014407494392360538
Advanced Manufacturing,cagr_emp,regression,size_large_share,0.0
Advanced Manufacturing,cagr_emp,regression,size_micro_share,0.007498908454852729
Advanced Manufacturing,cagr_emp,regression,public_transport_to_employer,0.06540520844531078
Advanced Manufacturing,cagr_emp,regression,drive_to_employer,0.033955860277958695
Advanced Manufacturing,cagr_emp,regression,cycle_to_employer,0.03521603315389893
Advanced Manufacturing,cagr_bus,regression,new_enterprises,0.02821234048730667
Advanced Manufacturing,cagr_bus,regression,deaths_of_enterprises,0.0429486292198745
Advanced Manufacturing,cagr_bus,regression,active_enterprises,0.032244846740359684
Advanced Manufacturing,cagr_bus,regression,high_growth_enterprises,0.020834023043285108
Advanced Manufacturing,cagr_bus,regression,broadband_availability,0.021053352698660516
Advanced Manufacturing,cagr_bus,regression,4g_area_coverage,0.007155241417516078
Advanced Manufacturing,cagr_bus,regression,gcse_by_age_19,0.02485211745364449
Advanced Manufacturing,cagr_bus,regression,early_years_comms,0.02118957532033603
Advanced Manufacturing,cagr_bus,regression,early_years_literacy,0.0060941580881506315
Advanced Manufacturing,cagr_bus,regression,early_years_maths,0.004910676981123964
Advanced Manufacturing,cagr_bus,regression,apprenticeship_starts,0.016919403487581326
Advanced Manufacturing,cagr_bus,regression,apprenticeship_achievements,0.0064641799152833825
Advanced Manufacturing,cagr_bus,regression,level_3+_qualifications,0.020849218518403278
Advanced Manufacturing,cagr_bus,regression,fe_and_skills_participation,0.017182239857126434
Advanced Manufacturing,cagr_bus,regression,smokers,0.012598641851251447
Advanced Manufacturing,cagr_bus,regression,reception_obesity,0.007136518215921429
Advanced Manufacturing,cagr_bus,regression,year_6_obesity,0.012028482540813876
Advanced Manufacturing,cagr_bus,regression,adult_obesity,0.007057603514996238
Advanced Manufacturing,cagr_bus,regression,cancer_diagnosis,0.007609223893488383
Advanced Manufacturing,cagr_bus,regression,under_75_mortality_rate,0.0031604459049235593
Advanced Manufacturing,cagr_bus,regression,life_satisfaction,0.003859627566048809
Advanced Manufacturing,cagr_bus,regression,worthwhile,0.008874692352648992
Advanced Manufacturing,cagr_bus,regression,happiness,0.07466775455831764
Advanced Manufacturing,cagr_bus,regression,anxiety,0.019196969118432307
Advanced Manufacturing,cagr_bus,regression,net_additions,0.005623702831500062
Advanced Manufacturing,cagr_bus,regression,related_variety,0.3530519375801358
Advanced Manufacturing,cagr_bus,regression,size_large_share,0.0
