group,sector,dep_var,model_type,feature,importance
full,Advanced Manufacturing,lq_emp,regression,new_enterprises,0.011254308751266056
full,Advanced Manufacturing,lq_emp,regression,deaths_of_enterprises,0.004573681229801207
full,Advanced Manufacturing,lq_emp,regression,active_enterprises,0.02295676009919412
full,Advanced Manufacturing,lq_emp,regression,high_growth_enterprises,0.0009722615876912122
full,Advanced Manufacturing,lq_emp,regression,broadband_availability,0.007759881349973777
full,Advanced Manufacturing,lq_emp,regression,4g_area_coverage,0.0037478329093712827
full,Advanced Manufacturing,lq_emp,regression,gcse_by_age_19,0.012006326705627431
full,Advanced Manufacturing,lq_emp,regression,early_years_comms,0.018436160043206036
full,Advanced Manufacturing,lq_emp,regression,early_years_literacy,0.04086897703390373
full,Advanced Manufacturing,lq_emp,regression,early_years_maths,0.00905530050462935
full,Advanced Manufacturing,lq_emp,regression,apprenticeship_starts,0.06808984738717781
full,Advanced Manufacturing,lq_emp,regression,apprenticeship_achievements,0.09152523010329931
full,Advanced Manufacturing,lq_emp,regression,level_3+_qualifications,0.008272219482177191
full,Advanced Manufacturing,lq_emp,regression,fe_and_skills_participation,0.0037356085238457854
full,Advanced Manufacturing,lq_emp,regression,smokers,0.025210055898150178
full,Advanced Manufacturing,lq_emp,regression,reception_obesity,0.0005327731102693228
full,Advanced Manufacturing,lq_emp,regression,year_6_obesity,0.006250169093466505
full,Advanced Manufacturing,lq_emp,regression,adult_obesity,0.014677810285891683
full,Advanced Manufacturing,lq_emp,regression,cancer_diagnosis,0.0031222955764128426
full,Advanced Manufacturing,lq_emp,regression,under_75_mortality_rate,0.005154340155173563
full,Advanced Manufacturing,lq_emp,regression,life_satisfaction,0.012541566923586125
full,Advanced Manufacturing,lq_emp,regression,worthwhile,0.0017047146972138433
full,Advanced Manufacturing,lq_emp,regression,happiness,0.007670903197179677
full,Advanced Manufacturing,lq_emp,regression,anxiety,0.016016963822447834
full,Advanced Manufacturing,lq_emp,regression,net_additions,0.07272891674943663
full,Advanced Manufacturing,lq_emp,regression,related_variety,0.023423800015264742
full,Advanced Manufacturing,lq_emp,regression,size_large_share,0.3808735349857434
full,Advanced Manufacturing,lq_emp,regression,size_micro_share,0.10678537514613418
full,Advanced Manufacturing,lq_emp,regression,public_transport_to_employer,0.0067711737958820115
full,Advanced Manufacturing,lq_emp,regression,drive_to_employer,0.006404091352245494
full,Advanced Manufacturing,lq_emp,regression,cycle_to_employer,0.006877119484337726
full,Advanced Manufacturing,lq_bus,regression,new_enterprises,0.01706353964016532
full,Advanced Manufacturing,lq_bus,regression,deaths_of_enterprises,0.007983696739464993
full,Advanced Manufacturing,lq_bus,regression,active_enterprises,0.008255974329417376
full,Advanced Manufacturing,lq_bus,regression,high_growth_enterprises,0.002782975601837702
full,Advanced Manufacturing,lq_bus,regression,broadband_availability,0.003967567947902599
full,Advanced Manufacturing,lq_bus,regression,4g_area_coverage,0.002889293004904551
full,Advanced Manufacturing,lq_bus,regression,gcse_by_age_19,0.002544995207291056
full,Advanced Manufacturing,lq_bus,regression,early_years_comms,0.008282806789756793
full,Advanced Manufacturing,lq_bus,regression,early_years_literacy,0.0033753327461569942
full,Advanced Manufacturing,lq_bus,regression,early_years_maths,0.0028444056612731685
full,Advanced Manufacturing,lq_bus,regression,apprenticeship_starts,0.13484306834245657
full,Advanced Manufacturing,lq_bus,regression,apprenticeship_achievements,0.09566621238511933
full,Advanced Manufacturing,lq_bus,regression,level_3+_qualifications,0.053563672689804144
full,Advanced Manufacturing,lq_bus,regression,fe_and_skills_participation,0.009568140537466513
full,Advanced Manufacturing,lq_bus,regression,smokers,0.002515457456639127
full,Advanced Manufacturing,lq_bus,regression,reception_obesity,0.004094659776324002
full,Advanced Manufacturing,lq_bus,regression,year_6_obesity,0.0025018230350176978
full,Advanced Manufacturing,lq_bus,regression,adult_obesity,0.00481199488849523
full,Advanced Manufacturing,lq_bus,regression,cancer_diagnosis,0.010561621113543966
full,Advanced Manufacturing,lq_bus,regression,under_75_mortality_rate,0.0036096325213788305
full,Advanced Manufacturing,lq_bus,regression,life_satisfaction,0.0014150024560361375
full,Advanced Manufacturing,lq_bus,regression,worthwhile,0.003728407642338793
full,Advanced Manufacturing,lq_bus,regression,happiness,0.006800618298380474
full,Advanced Manufacturing,lq_bus,regression,anxiety,0.010533494549309233
full,Advanced Manufacturing,lq_bus,regression,net_additions,0.031425032242527046
full,Advanced Manufacturing,lq_bus,regression,related_variety,0.11019675921276385
full,Advanced Manufacturing,lq_bus,regression,size_large_share,0.0
full,Advanced Manufacturing,lq_bus,regression,size_micro_share,0.42498784565147957
full,Advanced Manufacturing,lq_bus,regression,public_transport_to_employer,0.008921521233599827
full,Advanced Manufacturing,lq_bus,regression,drive_to_employer,0.0013868333492659717
full,Advanced Manufacturing,lq_bus,regression,cycle_to_employer,0.01887761494988322
full,Advanced Manufacturing,trajectory_employees,regression,new_enterprises,0.05939139983979465
full,Advanced Manufacturing,trajectory_employees,regression,deaths_of_enterprises,0.04694684168071061
full,Advanced Manufacturing,trajectory_employees,regression,active_enterprises,0.017691072020952294
full,Advanced Manufacturing,trajectory_employees,regression,high_growth_enterprises,0.014524061601916285
full,Advanced Manufacturing,trajectory_employees,regression,broadband_availability,0.043713378780390014
full,Advanced Manufacturing,trajectory_employees,regression,4g_area_coverage,0.05312008676671974
full,Advanced Manufacturing,trajectory_employees,regression,gcse_by_age_19,0.03302629862747406
full,Advanced Manufacturing,trajectory_employees,regression,early_years_comms,0.020910222605967536
full,Advanced Manufacturing,trajectory_employees,regression,early_years_literacy,0.06307609307022947
full,Advanced Manufacturing,trajectory_employees,regression,early_years_maths,0.01869472314116325
full,Advanced Manufacturing,trajectory_employees,regression,apprenticeship_starts,0.010941140878457944
full,Advanced Manufacturing,trajectory_employees,regression,apprenticeship_achievements,0.0394683741476294
full,Advanced Manufacturing,trajectory_employees,regression,level_3+_qualifications,0.047311786653682776
full,Advanced Manufacturing,trajectory_employees,regression,fe_and_skills_participation,0.027406760661789084
full,Advanced Manufacturing,trajectory_employees,regression,smokers,0.03560639136722134
full,Advanced Manufacturing,trajectory_employees,regression,reception_obesity,0.05634052775947281
full,Advanced Manufacturing,trajectory_employees,regression,year_6_obesity,0.053302045175851596
full,Advanced Manufacturing,trajectory_employees,regression,adult_obesity,0.02457476697892044
full,Advanced Manufacturing,trajectory_employees,regression,cancer_diagnosis,0.016065493290312465
full,Advanced Manufacturing,trajectory_employees,regression,under_75_mortality_rate,0.013624693045857124
full,Advanced Manufacturing,trajectory_employees,regression,life_satisfaction,0.029541026924010127
full,Advanced Manufacturing,trajectory_employees,regression,worthwhile,0.03664639955762914
full,Advanced Manufacturing,trajectory_employees,regression,happiness,0.0878497593754014
full,Advanced Manufacturing,trajectory_employees,regression,anxiety,0.020209022115259503
full,Advanced Manufacturing,trajectory_employees,regression,net_additions,0.01527234439742665
full,Advanced Manufacturing,trajectory_employees,regression,related_variety,0.04891934491758499
full,Advanced Manufacturing,trajectory_employees,regression,size_large_share,0.0
full,Advanced Manufacturing,trajectory_employees,regression,size_micro_share,0.03975066913681516
full,Advanced Manufacturing,trajectory_employees,regression,public_transport_to_employer,0.009962058562656554
full,Advanced Manufacturing,trajectory_employees,regression,drive_to_employer,0.01160676057413742
full,Advanced Manufacturing,trajectory_employees,regression,cycle_to_employer,0.004506456344566186
full,Advanced Manufacturing,trajectory_businesses,regression,new_enterprises,0.025806029179049787
full,Advanced Manufacturing,trajectory_businesses,regression,deaths_of_enterprises,0.025059515763817063
full,Advanced Manufacturing,trajectory_businesses,regression,active_enterprises,0.010247871279487494
full,Advanced Manufacturing,trajectory_businesses,regression,high_growth_enterprises,0.033672765971143576
full,Advanced Manufacturing,trajectory_businesses,regression,broadband_availability,0.01811701732394382
full,Advanced Manufacturing,trajectory_businesses,regression,4g_area_coverage,0.009044901160841905
full,Advanced Manufacturing,trajectory_businesses,regression,gcse_by_age_19,0.029283339012851937
full,Advanced Manufacturing,trajectory_businesses,regression,early_years_comms,0.013008394582961076
full,Advanced Manufacturing,trajectory_businesses,regression,early_years_literacy,0.0061611007811372305
full,Advanced Manufacturing,trajectory_businesses,regression,early_years_maths,0.0047372214432809135
full,Advanced Manufacturing,trajectory_businesses,regression,apprenticeship_starts,0.01224708792681429
full,Advanced Manufacturing,trajectory_businesses,regression,apprenticeship_achievements,0.002981831125739568
full,Advanced Manufacturing,trajectory_businesses,regression,level_3+_qualifications,0.02715221073738692
full,Advanced Manufacturing,trajectory_businesses,regression,fe_and_skills_participation,0.011518262817682617
full,Advanced Manufacturing,trajectory_businesses,regression,smokers,0.00993040096242093
full,Advanced Manufacturing,trajectory_businesses,regression,reception_obesity,0.018925073766274662
full,Advanced Manufacturing,trajectory_businesses,regression,year_6_obesity,0.012895245753884793
full,Advanced Manufacturing,trajectory_businesses,regression,adult_obesity,0.010764503391035964
full,Advanced Manufacturing,trajectory_businesses,regression,cancer_diagnosis,0.010453331177823388
full,Advanced Manufacturing,trajectory_businesses,regression,under_75_mortality_rate,0.009287973288905923
full,Advanced Manufacturing,trajectory_businesses,regression,life_satisfaction,0.012188320424768294
full,Advanced Manufacturing,trajectory_businesses,regression,worthwhile,0.005839658353663875
full,Advanced Manufacturing,trajectory_businesses,regression,happiness,0.08281213832712346
full,Advanced Manufacturing,trajectory_businesses,regression,anxiety,0.021020301237762284
full,Advanced Manufacturing,trajectory_businesses,regression,net_additions,0.008062237218463627
full,Advanced Manufacturing,trajectory_businesses,regression,related_variety,0.3744350652304132
full,Advanced Manufacturing,trajectory_businesses,regression,size_large_share,0.0
full,Advanced Manufacturing,trajectory_businesses,regression,size_micro_share,0.008891995175143773
full,Advanced Manufacturing,trajectory_businesses,regression,public_transport_to_employer,0.08347610023318569
full,Advanced Manufacturing,trajectory_businesses,regression,drive_to_employer,0.011176604228574125
full,Advanced Manufacturing,trajectory_businesses,regression,cycle_to_employer,0.09080350212441791
full,Advanced Manufacturing,lq_emp_binary,classification,new_enterprises,0.03963322182260093
full,Advanced Manufacturing,lq_emp_binary,classification,deaths_of_enterprises,0.02624327071837859
full,Advanced Manufacturing,lq_emp_binary,classification,active_enterprises,0.031707109279465615
full,Advanced Manufacturing,lq_emp_binary,classification,high_growth_enterprises,0.014669104903807774
full,Advanced Manufacturing,lq_emp_binary,classification,broadband_availability,0.019042743991317595
full,Advanced Manufacturing,lq_emp_binary,classification,4g_area_coverage,0.018174908093338892
full,Advanced Manufacturing,lq_emp_binary,classification,gcse_by_age_19,0.0261383698843682
full,Advanced Manufacturing,lq_emp_binary,classification,early_years_comms,0.02405165981599435
full,Advanced Manufacturing,lq_emp_binary,classification,early_years_literacy,0.009551338338882238
full,Advanced Manufacturing,lq_emp_binary,classification,early_years_maths,0.007779815583854309
full,Advanced Manufacturing,lq_emp_binary,classification,apprenticeship_starts,0.11231963081995472
full,Advanced Manufacturing,lq_emp_binary,classification,apprenticeship_achievements,0.089260858507704
full,Advanced Manufacturing,lq_emp_binary,classification,level_3+_qualifications,0.03986823664432188
full,Advanced Manufacturing,lq_emp_binary,classification,fe_and_skills_participation,0.0369984298678043
full,Advanced Manufacturing,lq_emp_binary,classification,smokers,0.030696478875899366
full,Advanced Manufacturing,lq_emp_binary,classification,reception_obesity,0.016500053922343837
full,Advanced Manufacturing,lq_emp_binary,classification,year_6_obesity,0.03563413441291637
full,Advanced Manufacturing,lq_emp_binary,classification,adult_obesity,0.026304104403028165
full,Advanced Manufacturing,lq_emp_binary,classification,cancer_diagnosis,0.020906027854872472
full,Advanced Manufacturing,lq_emp_binary,classification,under_75_mortality_rate,0.014696280394188063
full,Advanced Manufacturing,lq_emp_binary,classification,life_satisfaction,0.009375387850234528
full,Advanced Manufacturing,lq_emp_binary,classification,worthwhile,0.009630881255825618
full,Advanced Manufacturing,lq_emp_binary,classification,happiness,0.011218639620783859
full,Advanced Manufacturing,lq_emp_binary,classification,anxiety,0.010817598781030073
full,Advanced Manufacturing,lq_emp_binary,classification,net_additions,0.007396077544155258
full,Advanced Manufacturing,lq_emp_binary,classification,related_variety,0.03922921207535036
full,Advanced Manufacturing,lq_emp_binary,classification,size_large_share,0.023863904411626665
full,Advanced Manufacturing,lq_emp_binary,classification,size_micro_share,0.1531596946783829
full,Advanced Manufacturing,lq_emp_binary,classification,public_transport_to_employer,0.025151190359260903
full,Advanced Manufacturing,lq_emp_binary,classification,drive_to_employer,0.026555799756662175
full,Advanced Manufacturing,lq_emp_binary,classification,cycle_to_employer,0.043425835531646015
full,Advanced Manufacturing,lq_bus_binary,classification,new_enterprises,0.014930970355491992
full,Advanced Manufacturing,lq_bus_binary,classification,deaths_of_enterprises,0.015013396914431898
full,Advanced Manufacturing,lq_bus_binary,classification,active_enterprises,0.010747659274042762
full,Advanced Manufacturing,lq_bus_binary,classification,high_growth_enterprises,0.013500941707049725
full,Advanced Manufacturing,lq_bus_binary,classification,broadband_availability,0.008708002057215336
full,Advanced Manufacturing,lq_bus_binary,classification,4g_area_coverage,0.025634650300239533
full,Advanced Manufacturing,lq_bus_binary,classification,gcse_by_age_19,0.026722161476778732
full,Advanced Manufacturing,lq_bus_binary,classification,early_years_comms,0.013811894153961994
full,Advanced Manufacturing,lq_bus_binary,classification,early_years_literacy,0.011250358287543694
full,Advanced Manufacturing,lq_bus_binary,classification,early_years_maths,0.012185405168782677
full,Advanced Manufacturing,lq_bus_binary,classification,apprenticeship_starts,0.10286104865286619
full,Advanced Manufacturing,lq_bus_binary,classification,apprenticeship_achievements,0.09886146264222367
full,Advanced Manufacturing,lq_bus_binary,classification,level_3+_qualifications,0.06181955249744082
full,Advanced Manufacturing,lq_bus_binary,classification,fe_and_skills_participation,0.01584498368391224
full,Advanced Manufacturing,lq_bus_binary,classification,smokers,0.01570899844298197
full,Advanced Manufacturing,lq_bus_binary,classification,reception_obesity,0.006069724409058444
full,Advanced Manufacturing,lq_bus_binary,classification,year_6_obesity,0.01823864743426584
full,Advanced Manufacturing,lq_bus_binary,classification,adult_obesity,0.027139627303630554
full,Advanced Manufacturing,lq_bus_binary,classification,cancer_diagnosis,0.014039921193312196
full,Advanced Manufacturing,lq_bus_binary,classification,under_75_mortality_rate,0.025613176536823858
full,Advanced Manufacturing,lq_bus_binary,classification,life_satisfaction,0.010313148764264313
full,Advanced Manufacturing,lq_bus_binary,classification,worthwhile,0.007441531704795648
full,Advanced Manufacturing,lq_bus_binary,classification,happiness,0.015441648350458555
full,Advanced Manufacturing,lq_bus_binary,classification,anxiety,0.007623396416405886
full,Advanced Manufacturing,lq_bus_binary,classification,net_additions,0.004736374887203167
full,Advanced Manufacturing,lq_bus_binary,classification,related_variety,0.09350619274590458
full,Advanced Manufacturing,lq_bus_binary,classification,size_large_share,0.0
full,Advanced Manufacturing,lq_bus_binary,classification,size_micro_share,0.19083912571912925
full,Advanced Manufacturing,lq_bus_binary,classification,public_transport_to_employer,0.04136850268537961
full,Advanced Manufacturing,lq_bus_binary,classification,drive_to_employer,0.03834536433498557
full,Advanced Manufacturing,lq_bus_binary,classification,cycle_to_employer,0.05168213189941934
full,Advanced Manufacturing,trajectory_employees_binary,classification,new_enterprises,0.05191156843166416
full,Advanced Manufacturing,trajectory_employees_binary,classification,deaths_of_enterprises,0.051058026306537656
full,Advanced Manufacturing,trajectory_employees_binary,classification,active_enterprises,0.032877293533004774
full,Advanced Manufacturing,trajectory_employees_binary,classification,high_growth_enterprises,0.03461845954344125
full,Advanced Manufacturing,trajectory_employees_binary,classification,broadband_availability,0.03673632140856588
full,Advanced Manufacturing,trajectory_employees_binary,classification,4g_area_coverage,0.029800797498675348
full,Advanced Manufacturing,trajectory_employees_binary,classification,gcse_by_age_19,0.031141494552398025
full,Advanced Manufacturing,trajectory_employees_binary,classification,early_years_comms,0.021298143608088974
full,Advanced Manufacturing,trajectory_employees_binary,classification,early_years_literacy,0.025165724695603985
full,Advanced Manufacturing,trajectory_employees_binary,classification,early_years_maths,0.013373638604896699
full,Advanced Manufacturing,trajectory_employees_binary,classification,apprenticeship_starts,0.031686387533966937
full,Advanced Manufacturing,trajectory_employees_binary,classification,apprenticeship_achievements,0.018159139196557282
full,Advanced Manufacturing,trajectory_employees_binary,classification,level_3+_qualifications,0.06398657409650195
full,Advanced Manufacturing,trajectory_employees_binary,classification,fe_and_skills_participation,0.04308680202242827
full,Advanced Manufacturing,trajectory_employees_binary,classification,smokers,0.03107766566262384
full,Advanced Manufacturing,trajectory_employees_binary,classification,reception_obesity,0.026043325009828634
full,Advanced Manufacturing,trajectory_employees_binary,classification,year_6_obesity,0.042332251958578614
full,Advanced Manufacturing,trajectory_employees_binary,classification,adult_obesity,0.015459206854531267
full,Advanced Manufacturing,trajectory_employees_binary,classification,cancer_diagnosis,0.059334641982650094
