variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
transport_to_employer,-0.02352472995196119,0.007263439676620022,-3.2387864426938036,0.0012003941698082146,-0.037760810122015695,-0.009288649781906692,***,Creative Industries,lq_emp,279,0.638
nvq_level3,0.01875414778690156,0.003878738574967752,4.835115186142052,1.3306855915528077e-06,0.011151959874518554,0.026356335699284566,***,Creative Industries,lq_emp,279,0.638
gcse_age19,0.014167393352494301,0.006084624340998325,2.328392446027294,0.01989127440459419,0.002241748784681823,0.02609303792030678,**,Creative Industries,lq_emp,279,0.638
apprenticeship_starts,-0.0004025327068007666,0.00024210161497210876,-1.6626601472573417,0.0963804838886261,-0.000877043152745083,7.197773914354968e-05,*,Creative Industries,lq_emp,279,0.638
apprenticeship_achievements,-0.0005187388833868727,0.0005025781090978086,-1.0321557465327622,0.3019991622577656,-0.0015037738766368197,0.0004662961098630743,,Creative Industries,lq_emp,279,0.638
fe_participation,6.698992059121169e-05,2.983452016067919e-05,2.245382872941324,0.024743563955228105,8.515335580246333e-06,0.00012546450560217706,**,Creative Industries,lq_emp,279,0.638
unemployment_rate,-0.02843725165086524,0.03610494791689067,-0.7876275494517936,0.43091459529506626,-0.09920164923166541,0.042327145929934924,,Creative Industries,lq_emp,279,0.638
housing_net_additions,0.0019493086145123371,0.0043168729744630305,0.4515557038726183,0.651589087201768,-0.0065116069412694995,0.010410224170294174,,Creative Industries,lq_emp,279,0.638
size_large_share,141.71757783440114,29.21074204037049,4.851556925138753,1.2249603954214007e-06,84.46557547358492,198.96958019521736,***,Creative Industries,lq_emp,279,0.638
size_micro_share,-3.28250872206197,0.9754244491717621,-3.3652106268703488,0.0007648524828369356,-5.1943055120784445,-1.370711932045496,***,Creative Industries,lq_emp,279,0.638
related_variety,-0.17554950254661644,0.3993980456421899,-0.43953520669925006,0.6602737774685659,-0.9583552875009933,0.6072562824077605,,Creative Industries,lq_emp,279,0.638
within_sector_diversity,-0.17342418411980517,0.12794809183096276,-1.3554261078697654,0.17528183621022286,-0.42419783599911565,0.07734946775950532,,Creative Industries,lq_emp,279,0.638
n_universities_feecap_lad,0.027373064926741165,0.01754161771385834,1.5604641130171093,0.11865024421038532,-0.007007874022991016,0.06175400387647335,,Creative Industries,lq_emp,279,0.638
enterprise_birth_rate,-1.8646751827575652,1.2729359245903706,-1.464861778771477,0.14295863256608954,-4.359583749581885,0.6302333840667553,,Creative Industries,lq_bus,279,0.719
enterprise_death_rate,-1.8696201622316346,1.0930321637264735,-1.7104896125449232,0.08717537263892544,-4.01192383707941,0.2726835126161409,*,Creative Industries,lq_bus,279,0.719
broadband,0.0012146200104576161,0.0013923917280378312,0.8723263618990812,0.38303036016405156,-0.0015144176288680229,0.003943657649783255,,Creative Industries,lq_bus,279,0.719
transport_to_employer,-0.01197396899782509,0.015481930850468421,-0.7734157395143517,0.4392763779830804,-0.042317995875882766,0.018370057880232583,,Creative Industries,lq_bus,279,0.719
cycle_to_employer,-0.037984449676852806,0.02100671272722645,-1.8082053184657396,0.07057455118418242,-0.07915685005579583,0.0031879507020902143,*,Creative Industries,lq_bus,279,0.719
nvq_level3,0.018265782444654176,0.003583768643394889,5.096808489108012,3.4542745977481967e-07,0.011241724974676225,0.02528983991463213,***,Creative Industries,lq_bus,279,0.719
gcse_age19,0.010058003036178851,0.004532673943218519,2.218999902083616,0.02648673119531122,0.0011741253538074033,0.018941880718550297,**,Creative Industries,lq_bus,279,0.719
apprenticeship_starts,-0.0005000305535287513,0.00025205563011836195,-1.9838102933623964,0.04727699221162735,-0.00099405051066129,-6.010596396212558e-06,**,Creative Industries,lq_bus,279,0.719
apprenticeship_achievements,-0.0006559564710652427,0.0004911053414602289,-1.335673664462401,0.18165596088319025,-0.0016185052529425368,0.0003065923108120515,,Creative Industries,lq_bus,279,0.719
fe_participation,5.5426288671479726e-05,2.398967918794627e-05,2.3104222543888344,0.020864788195665306,8.407381462434946e-06,0.0001024451958805245,**,Creative Industries,lq_bus,279,0.719
unemployment_rate,-0.04184908191688675,0.024459651220445848,-1.710943526533406,0.08709153845888899,-0.08978911738337178,0.006090953549598287,*,Creative Industries,lq_bus,279,0.719
size_large_share,26.154014859273715,14.494323736077247,1.8044315371661523,0.07116368281099897,-2.254337643701728,54.56236736224916,*,Creative Industries,lq_bus,279,0.719
related_variety,0.4341349643459634,0.3067081020080897,1.415466241366238,0.15693183963811702,-0.16700186935652944,1.0352717980484563,,Creative Industries,lq_bus,279,0.719
within_sector_diversity,0.09077362614725026,0.10359451677414354,0.8762396792211953,0.3808997497218293,-0.11226789572590157,0.2938151480204021,,Creative Industries,lq_bus,279,0.719
n_universities_feecap_lad,0.015359373633753864,0.00804382497121081,1.9094614426253322,0.05620259112440389,-0.00040623360776325876,0.031124980875270988,*,Creative Industries,lq_bus,279,0.719
cycle_to_employer,0.0010234600553299395,0.0009823441487540403,1.0418548902928253,0.29747896091794546,-0.0009018990966516371,0.002948819207311516,,Creative Industries,gd_emp,279,0.139
gcse_age19,-0.0007363121679036913,0.00040230354001887376,-1.8302403400903402,0.06721400808123891,-0.0015248126171936523,5.218828138626964e-05,*,Creative Industries,gd_emp,279,0.139
fe_participation,1.4754311997778726e-06,2.6259239234345675e-06,0.5618712661896494,0.574203732064475,-3.6712851162959945e-06,6.622147515851739e-06,,Creative Industries,gd_emp,279,0.139
unemployment_rate,-0.003946524083690832,0.0021257800435249036,-1.8565063190389284,0.06338142317208983,-0.008112976408053632,0.0002199282406719679,*,Creative Industries,gd_emp,279,0.139
housing_net_additions,0.0013662336714528388,0.00039563343301943763,3.4532816426202158,0.0005538104602421528,0.0005908063916548012,0.0021416609512508763,***,Creative Industries,gd_emp,279,0.139
size_large_share,4.017633205906347,2.006854443315818,2.0019554578498613,0.04528952227718201,0.08427077479316436,7.950995637019529,**,Creative Industries,gd_emp,279,0.139
size_micro_share,-0.1816487655075333,0.07617618397326935,-2.3845873609430854,0.017098287805919175,-0.3309513425748385,-0.0323461884402281,**,Creative Industries,gd_emp,279,0.139
related_variety,-0.10818937320104237,0.04850746708896356,-2.230365337415395,0.025723198792597966,-0.20326226167667294,-0.013116484725411812,**,Creative Industries,gd_emp,279,0.139
within_sector_diversity,0.006765928103313595,0.01325437158475542,0.5104676642003503,0.6097238629335505,-0.01921216284051811,0.0327440190471453,,Creative Industries,gd_emp,279,0.139
enterprise_birth_rate,0.07882102973823162,0.0594035638243848,1.3268737540941282,0.18455044770216755,-0.037607815910889034,0.19524987538735228,,Creative Industries,gd_bus,279,0.218
broadband,-7.35705923997968e-05,8.673110444788926e-05,-0.8482607579844702,0.3962927668568199,-0.00024356043345704142,9.641924865744784e-05,,Creative Industries,gd_bus,279,0.218
cycle_to_employer,0.0008629473081209183,0.000576515684654972,1.4968323171248452,0.13443689500250644,-0.00026700267032527805,0.0019928972865671146,,Creative Industries,gd_bus,279,0.218
gcse_age19,2.7332554641472265e-05,0.00020180227521505341,0.1354422521368748,0.8922622195152674,-0.0003681926367782724,0.00042285774606121694,,Creative Industries,gd_bus,279,0.218
fe_participation,2.5429239756074227e-06,7.796105059606546e-07,3.261787721131299,0.0011071201611596577,1.0149154619554905e-06,4.0709324892593546e-06,***,Creative Industries,gd_bus,279,0.218
unemployment_rate,0.0006006227226229494,0.0012837065624366486,0.4678816329199769,0.6398692388500025,-0.0019153959064706,0.0031166413517164987,,Creative Industries,gd_bus,279,0.218
housing_net_additions,0.00026095598118266365,0.00017700483435688117,1.4742873104613532,0.14040425031670137,-8.596711924630142e-05,0.0006078790816116287,,Creative Industries,gd_bus,279,0.218
related_variety,0.05070607753097253,0.01961189283566896,2.5854759637861826,0.00972446528452417,0.012267473904402255,0.08914468115754282,***,Creative Industries,gd_bus,279,0.218
within_sector_diversity,0.03672712112303425,0.00792017682253887,4.637159238480374,3.532302810003125e-06,0.021203859799669184,0.05225038244639932,***,Creative Industries,gd_bus,279,0.218
n_universities_feecap_lad,0.0002762716501008663,0.0005166953879291914,0.5346895996267861,0.5928645144456498,-0.0007364327012183007,0.0012889760014200332,,Creative Industries,gd_bus,279,0.218
enterprise_birth_rate,-3.1152303960795247,1.3691736730213504,-2.2752631440868694,0.0228901489603628,-5.798761483781792,-0.43169930837725756,**,Digital and Technologies,lq_emp,293,0.631
broadband,0.002235517056769468,0.0017341455857997421,1.289117289272173,0.1973573137520901,-0.001163345835347141,0.005634379948886077,,Digital and Technologies,lq_emp,293,0.631
coverage_4g,0.009979979716612193,0.010683526101213953,0.9341466124632937,0.3502282704096681,-0.010959346669660773,0.03091930610288516,,Digital and Technologies,lq_emp,293,0.631
drive_to_employer,-0.026747770005377845,0.0323901889646073,-0.8257985167855948,0.40891839562044574,-0.09023137382845485,0.03673583381769917,,Digital and Technologies,lq_emp,293,0.631
