IZ22CD,IZ22NM,IZ22NM,CA,CAName
S02002638,Arbroath Harbour,Arbroath Harbour,S12000041,Angus
S02002896,Earlston and Hurlford Rural,Earlston and Hurlford Rural,S12000008,East Ayrshire
S02003487,Kirkwood and Bargeddie,Kirkwood and Bargeddie,S12000050,North Lanarkshire
S02002691,Slateford and Chesser,Slateford and Chesser,S12000036,City of Edinburgh
S02003461,Newmains,Newmains,S12000050,North Lanarkshire
S02002537,Torry West,Torry West,S12000033,Aberdeen City
S02002531,Ferryhill North,Ferryhill North,S12000033,Aberdeen City
S02002814,Newton Stewart,Newton Stewart,S12000006,Dumfries and Galloway
S02003820,Livingston Craigshill ,Livingston Craigshill ,S12000040,West Lothian
S02003145,Pollok North and East,Pollok North and East,S12000049,Glasgow City
S02002851,Docks and Wellgate,Docks and Wellgate,S12000042,Dundee City
S02003677,Prestwick East,Prestwick East,S12000028,South Ayrshire
S02003607,Renfrew East,Renfrew East,S12000038,Renfrewshire
S02003152,Govan and Linthouse,Govan and Linthouse,S12000049,Glasgow City
S02003412,Arran,Arran,S12000021,North Ayrshire
S02003209,Shettleston North,Shettleston North,S12000049,Glasgow City
S02003653,Lerwick North,Lerwick North,S12000027,Shetland Islands
S02003619,Tweeddale West,Tweeddale West,S12000026,Scottish Borders
S02003163,Battlefield,Battlefield,S12000049,Glasgow City
S02003323,Alness,Alness,S12000017,Highland
S02003658,Carrick South,Carrick South,S12000028,South Ayrshire
S02002553,Northfield,Northfield,S12000033,Aberdeen City
S02003477,Forgewood,Forgewood,S12000050,North Lanarkshire
S02003504,Coatdyke and Whinhall,Coatdyke and Whinhall,S12000050,North Lanarkshire
S02003686,"Biggar, Symington, Thankerton and Dolphinton","Biggar, Symington, Thankerton and Dolphinton",S12000029,South Lanarkshire
S02002727,"Old Town, Princes Street and Leith Street","Old Town, Princes Street and Leith Street",S12000036,City of Edinburgh
S02003292,Inverness Westhill,Inverness Westhill,S12000017,Highland
S02003841,Linlithgow South and Bathgate Hills,Linlithgow South and Bathgate Hills,S12000040,West Lothian
S02003264,Scotstoun South and West,Scotstoun South and West,S12000049,Glasgow City
S02003733,Westburn,Westburn,S12000029,South Lanarkshire
S02002694,Shandon,Shandon,S12000036,City of Edinburgh
S02002715,The Grange,The Grange,S12000036,City of Edinburgh
S02003443,Largs Central and Cumbrae,Largs Central and Cumbrae,S12000021,North Ayrshire
S02002551,Sheddocksley,Sheddocksley,S12000033,Aberdeen City
S02003566,Coupar Angus and Meigle,Coupar Angus and Meigle,S12000048,Perth and Kinross
S02002584,Inverurie North,Inverurie North,S12000034,Aberdeenshire
