variable,coef,se,t,p_value,ci_low,ci_high,stars,sector,outcome,n,r2
size_large_share,219.93359933047424,45.617799549357485,4.821223327366125,1.4268051084118085e-06,130.52435515976606,309.3428435011824,***,Creative Industries,lq_emp,283,0.658
size_micro_share,-1.4786106874666636,0.9255412158897028,-1.597563308993546,0.11014019757532673,-3.292638136817892,0.3354167618845647,,Creative Industries,lq_emp,283,0.658
high_growth_enterprises,0.0021654435421242,0.0012749792768421127,1.698414696972646,0.08942952014406479,-0.0003334699215212637,0.0046643570057696634,*,Creative Industries,lq_bus,270,0.783
early_years_literacy,0.010270686519111921,0.011840551299039107,0.8674162426833466,0.3857139854078394,-0.01293636758410368,0.03347774062232752,,Creative Industries,lq_bus,270,0.783
early_years_maths,0.02777266743113769,0.01213039229621791,2.2895110688049902,0.022049675530280016,0.003997535412208458,0.05154779945006692,**,Creative Industries,lq_bus,270,0.783
apprenticeship_starts,-0.00012156517323105073,0.0002084094584007775,-0.5832996936121648,0.5596915687585218,-0.0005300402057340733,0.0002869098592719718,,Creative Industries,lq_bus,270,0.783
apprenticeship_achievements,-0.0007468363524217201,0.0004090310206567743,-1.8258672685082353,0.06787025759831193,-0.0015485224214686567,5.484971662521646e-05,*,Creative Industries,lq_bus,270,0.783
level_3+_qualifications,0.010598631884102185,0.00277047438873029,3.82556573243023,0.00013047211397659817,0.005168601862100195,0.016028661906104174,***,Creative Industries,lq_bus,270,0.783
adult_obesity,-0.01625527774442613,0.004030982934732807,-4.032584113508189,5.516685948101914e-05,-0.024155859118798,-0.008354696370054258,***,Creative Industries,lq_bus,270,0.783
worthwhile,-0.2882751831260082,0.05771375809216914,-4.994912697690409,5.886238884311711e-07,-0.4013920703991168,-0.1751582958528996,***,Creative Industries,lq_bus,270,0.783
happiness,0.0847346103839184,0.06981187421638632,1.2137564180167706,0.2248407532296821,-0.052094148773439194,0.22156336954127598,,Creative Industries,lq_bus,270,0.783
anxiety,0.0010017731908082538,0.0360673034715695,0.02777510638126618,0.9778415205309853,-0.06968884263294443,0.07169238901456094,,Creative Industries,lq_bus,270,0.783
related_variety,-0.0630711484296708,0.09108194928667174,-0.692465948781579,0.488644762746933,-0.24158848867325106,0.11544619181390946,,Creative Industries,lq_bus,270,0.783
size_large_share,31.354475079214485,17.76854172170606,1.764605985696161,0.07763000879745041,-3.471226753126718,66.18017691155569,*,Creative Industries,lq_bus,270,0.783
public_transport_to_employer,-0.03920641898054288,0.006805229818435865,-5.761218948745834,8.350862676126437e-09,-0.05254442433119523,-0.025868413629890535,***,Creative Industries,lq_bus,270,0.783
level_3+_qualifications,0.00013676605211576762,0.00025264964443283606,0.5413269130965481,0.5882822734224886,-0.0003584181516794417,0.0006319502559109769,,Creative Industries,cagr_emp,290,0.037
related_variety,0.01262350633932186,0.011742039156526489,1.075069344518872,0.282343683075154,-0.010390467512529132,0.035637480191172854,,Creative Industries,cagr_emp,290,0.037
size_large_share,3.2099774754165815,1.1635851897496914,2.7586957136392454,0.005803254351360676,0.9293924105629814,5.490562540270181,***,Creative Industries,cagr_emp,290,0.037
size_micro_share,-0.10761017375467115,0.07153431866115555,-1.5043153519697317,0.13250018803963248,-0.24781486198914754,0.03259451447980523,,Creative Industries,cagr_emp,290,0.037
active_enterprises,-1.8338800111452503e-07,1.6809391756240511e-07,-1.0909853477978582,0.2752793299246401,-5.128460255570839e-07,1.4607002332803388e-07,,Creative Industries,cagr_bus,268,0.14
broadband_availability,-7.686224575187643e-06,9.054481529134066e-05,-0.08488862173340501,0.9323499376761583,-0.00018515080153304689,0.00016977835238267159,,Creative Industries,cagr_bus,268,0.14
early_years_literacy,0.00013068130229369258,0.00044490080273170866,0.29373132503089266,0.7689632157233998,-0.0007413082477534156,0.0010026708523408008,,Creative Industries,cagr_bus,268,0.14
apprenticeship_achievements,-5.1941170922063666e-06,7.653174144017282e-06,-0.6786879527975677,0.49733560105968,-2.0194062781893396e-05,9.805828597480663e-06,,Creative Industries,cagr_bus,268,0.14
fe_and_skills_participation,1.987833070106989e-06,1.1669536712443842e-06,1.7034378648359345,0.08848615672610849,-2.9935409715879864e-07,4.275020237372776e-06,*,Creative Industries,cagr_bus,268,0.14
under_75_mortality_rate,6.689498282898366e-05,0.0002054585833154774,0.3255886502744341,0.7447356004565298,-0.00033579644078397407,0.00046958640644194144,,Creative Industries,cagr_bus,268,0.14
life_satisfaction,-0.007696058809097512,0.004216098401093725,-1.825398289352314,0.06794094726964613,-0.015959459830518122,0.0005673422123230968,*,Creative Industries,cagr_bus,268,0.14
anxiety,-0.005937841824052294,0.002775714132223479,-2.1392123040047357,0.03241847815765811,-0.011378141554589162,-0.0004975420935154264,**,Creative Industries,cagr_bus,268,0.14
related_variety,0.029023238424842994,0.00795991128188123,3.6461761189358,0.00026617158491035767,0.013422098992221729,0.04462437785746426,***,Creative Industries,cagr_bus,268,0.14
size_large_share,0.7096113348660322,0.8671134607299666,0.8183604187953171,0.4131514158648544,-0.9898998186745889,2.4091224884066533,,Creative Industries,cagr_bus,268,0.14
cycle_to_employer,0.0002847596815835209,0.0007210240375262277,0.3949378477873043,0.6928887572172491,-0.0011284214639555418,0.0016979408271225835,,Creative Industries,cagr_bus,268,0.14
new_enterprises,-0.00014954267533002824,8.548128091147452e-05,-1.7494201506514215,0.08021842019851122,-0.0003170829072688695,1.7997556608813033e-05,*,Digital and Technologies,lq_emp,96,0.753
gcse_by_age_19,0.010913348608548389,0.009609150506445615,1.1357245993002134,0.25607184202514777,-0.007920240306109837,0.029746937523206615,,Digital and Technologies,lq_emp,96,0.753
apprenticeship_achievements,-0.0006600530746365783,0.00042550909569360145,-1.5512079091062867,0.12085186737827949,-0.0014940355772902446,0.00017392942801708789,,Digital and Technologies,lq_emp,96,0.753
level_3+_qualifications,0.0015243462463361886,0.00838621865455529,0.18176800643138286,0.8557647933831414,-0.014912340283070128,0.017961032775742507,,Digital and Technologies,lq_emp,96,0.753
fe_and_skills_achievements,9.809030845910882e-06,2.195556205590378e-05,0.44676746698330433,0.6550429632131578,-3.322308004399471e-05,5.2841141735816474e-05,,Digital and Technologies,lq_emp,96,0.753
